sysid,title,article_text,law_group,law_type
kris_ก0203-1B-0001,พระราชบัญญัติกรมราชพัสดุ รัตนโกสินทร์ศก 109,"[1/1/2433] พระราชบัญญัติกรมราชพัสดุ รัตนโกสินทร์ศก 109
พระราชบัญญัติกรมราชพัสดุรัตนโกสินทร์ศก ๑๐๙ โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา https://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล101-1B-0002,พระราชบัญญัติการออกโฉนดที่ดิน รัตนโกสินทร์ ศก 127 (ยกเลิก),"[1/1/2451] พระราชบัญญัติการออกโฉนดที่ดิน รัตนโกสินทร์ ศก 127 (ยกเลิก)
พระราชบัญญัติ การออกโฉนดที่ดิน รัตนโกสินทร์ ศก ๑๒๗ และที่แก้ไขเพิ่มเติม (ยกเลิก) โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา http://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล113-1H-0001,กฎหมายลักษณะอาญา รัตนโกสินทร์ ศก 127 (ยกเลิก),"[1/6/2451] กฎหมายลักษณะอาญา รัตนโกสินทร์ ศก 127 (ยกเลิก)
กฎหมายลักษณะอาญา รัตนโกสินทร์ ศก ๑๒๗ และที่แก้ไขเพิ่มเติม (ยกเลิก) โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา http://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,อื่นๆ
kris_ก0003-1B-0001,พระราชบัญญัติกฎอัยการศึก พระพุทธศักราช 2457,"[13/9/2457] พระราชบัญญัติกฎอัยการศึก พระพุทธศักราช 2457
ประกาศของคณะปฏิวัติ ฉบับที่ ๓๐๓ ลงวันที่ ๑๓ ธันวาคม พุทธศักราช ๒๕๑๕ พระราชบัญญัติกฎอัยการศึก (ฉบับที่ ๓) พุทธศักราช ๒๔๘๗ พระราชบัญญัติกฎอัยการศึก (ฉบับที่ ๕) พ.ศ. ๒๕๐๒ ข. คดีที่เกี่ยวกับความผิดบางอย่าง ๑. ความผ",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล156-1B-0001,พระราชบัญญัติการทำเหมืองแร่ พระพุทธศักราช 2461 (ยกเลิก),"[20/2/2461] พระราชบัญญัติการทำเหมืองแร่ พระพุทธศักราช 2461 (ยกเลิก)
พระราชบัญญัติ การทำเหมืองแร่ พระพุทธศักราช ๒๔๖๑ และที่แก้ไขเพิ่มเติม (ยกเลิก) โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา https://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล152-1B-0001,พระราชบัญญัติเกณฑ์พลเมืองอุดหนุนราชการทหาร พระพุทธศักราช 2464 (ยกเลิก),"[7/11/2464] พระราชบัญญัติเกณฑ์พลเมืองอุดหนุนราชการทหาร พระพุทธศักราช 2464 (ยกเลิก)
พระราชบัญญัติ เกณฑ์พลเมืองอุดหนุนราชการทหาร พระพุทธศักราช ๒๔๖๔ (ยกเลิก) โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา https://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_กง001-1B-0001,พระราชบัญญัติจัดการกู้เงินภายในประเทศ พุทธศักราช 2476,"[17/4/2476] พระราชบัญญัติจัดการกู้เงินภายในประเทศ พุทธศักราช 2476
พระราชบัญญัติ จัดการกู้เงินภายในประเทศ พุทธศักราช ๒๔๗๖ ประชาธิปก ป.ร. พระบาทสมเด็จพระปรมินทรมหาประชาธิปก พระปกเกล้าเจ้าอยู่หัว มีพระบรมราชโองการโปรดเกล้าฯ ให้ประกาศว่า โดยที่เป็นการสมควรจัดการกู้เงินภายในประเทศ",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล114-1B-0001,พระราชบัญญัติกำหนดเขตหวงห้ามและจัดซื้อที่ดินเพื่อจัดสร้างการชลประทานในจังหวัดเชียงใหม่ พุทธศักราช 2476,"[19/11/2476] พระราชบัญญัติกำหนดเขตหวงห้ามและจัดซื้อที่ดินเพื่อจัดสร้างการชลประทานในจังหวัดเชียงใหม่ พุทธศักราช 2476
พระราชบัญญัติ กำหนดเขตหวงห้ามและจัดซื้อที่ดินเพื่อจัดสร้างการชลประทานในจังหวัดเชียงใหม่ พุทธศักราช 2476 โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา http://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล112-1B-0001,พระราชบัญญัติการสาธารณสุข พุทธศักราช 2477 (ยกเลิก),"[1/5/2477] พระราชบัญญัติการสาธารณสุข พุทธศักราช 2477 (ยกเลิก)
พระราชบัญญัติ การสาธารณสุข พุทธศักราช ๒๔๗๗ และที่แก้ไขเพิ่มเติม (ยกเลิก) โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา http://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ก0027-1B-0001,พระราชบัญญัติการพนัน พุทธศักราช 2478,"[1/2/2478] พระราชบัญญัติการพนัน พุทธศักราช 2478
พระราชบัญญัติ การพนัน พุทธศักราช ๒๔๗๘ พระราชบัญญัติการพนัน (ฉบับที่ ๘) พ.ศ. ๒๕๐๕ พระราชบัญญัติการพนัน (ฉบับที่ ๒) พุทธศักราช ๒๔๘๒ พระราชบัญญัติการพนัน (ฉบับที่ ๓) พุทธศักราช ๒๔๘๕ พระราชบัญญัติการพนัน (ฉบับที่ ๔",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล237-1B-0001,พระราชบัญญัติการทะเบียนราษฎรในเขตต์เทศบาล พุทธศักราช 2479 (ยกเลิก),"[23/8/2479] พระราชบัญญัติการทะเบียนราษฎรในเขตต์เทศบาล พุทธศักราช 2479 (ยกเลิก)
พระราชบัญญัติ การทะเบียนราษฎรในเขตต์เทศบาล พุทธศักราช ๒๔๗๙ (ยกเลิก) โปรดดูรายละเอียดของกฎหมาย ที่เว็บไซต์ราชกิจจานุเบกษา https://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล109-1B-0001,พระราชบัญญัติการเลือกตั้งสมาชิกสภาท้องถิ่น พุทธศักราช 2479 (ยกเลิก),"[15/11/2479] พระราชบัญญัติการเลือกตั้งสมาชิกสภาท้องถิ่น พุทธศักราช 2479 (ยกเลิก)
พระราชบัญญัติ การเลือกตั้งสมาชิกสภาท้องถิ่น พุทธศักราช ๒๔๗๙ (ยกเลิก) โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา http://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล163-1B-0001,พระราชบัญญัติการเดินอากาศ พ.ศ. 2480 (ยกเลิก),"[25/4/2480] พระราชบัญญัติการเดินอากาศ พ.ศ. 2480 (ยกเลิก)
พระราชบัญญัติ การเดินอากาศ พุทธศักราช ๒๔๘๐ และที่แก้ไขเพิ่มเติม (ยกเลิก) โปรดดูรายละเอียดของกฎหมายที่เว็บไซต์ราชกิจจานุเบกษา https://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ยล228-1B-0001,พระราชบัญญัติการทะเบียนคนต่างด้าว พุทธศักราช 2479 (ยกเลิก),"[5/7/2480] พระราชบัญญัติการทะเบียนคนต่างด้าว พุทธศักราช 2479 (ยกเลิก)
พระราชบัญญัติ การทะเบียนคนต่างด้าว พุทธศักราช ๒๔๗๙ และที่แก้ไขเพิ่มเติม (ยกเลิก) โปรดดูรายละเอียดของกฎหมาย ที่เว็บไซต์ราชกิจจานุเบกษา https://ratchakitcha.soc.go.th/",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ก0008-1B-0001,พระราชบัญญัติการเปรียบเทียบคดีอาญา พุทธศักราช 2481 (ยกเลิก),"[1/4/2482] พระราชบัญญัติการเปรียบเทียบคดีอาญา พุทธศักราช 2481 (ยกเลิก)
พระราชบัญญัติ การเปรียบเทียบคดีอาญา พุทธศักราช ๒๔๘๑ (ยกเลิก) พระราชบัญญัติการเปรียบเทียบคดีอาญา (ฉบับที่ ๒) พ.ศ. ๒๔๙๙ พระราชบัญญัติการเปรียบเทียบคดีอาญา (ฉบับที่ ๓) พ.ศ. ๒๕๒๙ ในพระปรมาภิไธยสมเด็จพระเจ้าอยู่หัวอ",กฎหมายทั่วไป,พระราชบัญญัติ
kris_กง002-1B-0001,พระราชบัญญัติจัดการกู้เงินในประเทศเพื่อเกษตรกร พุทธศักราช ๒๔๘๑,"[17/4/2482] พระราชบัญญัติจัดการกู้เงินในประเทศเพื่อเกษตรกร พุทธศักราช ๒๔๘๑
พระราชบัญญัติ จัดการกู้เงินในประเทศเพื่อเกษตรกร พุทธศักราช ๒๔๘๑ ในพระปรมาภิไธยสมเด็จพระเจ้าอยู่หัวอานันทมหิดล คณะผู้สำเร็จราชการแทนพระองค์ (ตามประกาศประธานสภาผู้แทนราษฎร ลงวันที่ ๔ สิงหาคม พุทธศักราช ๒๔๘๐) อาทิ",กฎหมายทั่วไป,พระราชบัญญัติ
kris_กง003-1B-0001,พระราชบัญญัติจัดการกู้เงินในประเทศเพื่อการอุตสาหกรรม พุทธศักราช 2481,"[17/4/2482] พระราชบัญญัติจัดการกู้เงินในประเทศเพื่อการอุตสาหกรรม พุทธศักราช 2481
พระราชบัญญัติ จัดการกู้เงินในประเทศเพื่อการอุตสาหกรรม พุทธศักราช ๒๔๘๑ ในพระปรมาภิไธยสมเด็จพระเจ้าอยู่หัวอานันทมหิดล คณะผู้สำเร็จราชการแทนพระองค์ (ตามประกาศประธานสภาผู้แทนราษฎร ลงวันที่ ๔ สิงหาคม พุทธศักราช ๒๔๘๐",กฎหมายทั่วไป,พระราชบัญญัติ
kris_กง004-1B-0001,พระราชบัญญัติจัดการกู้เงินในประเทศเพื่อเทศบาลและการบำรุงท้องที่ พุทธศักราช 2481,"[17/4/2482] พระราชบัญญัติจัดการกู้เงินในประเทศเพื่อเทศบาลและการบำรุงท้องที่ พุทธศักราช 2481
พระราชบัญญัติ จัดการกู้เงินในประเทศเพื่อเทศบาลและการบำรุงท้องที่ พุทธศักราช ๒๔๘๑ ในพระปรมาภิไธยสมเด็จพระเจ้าอยู่หัวอานันทมหิดล คณะผู้สำเร็จราชการแทนพระองค์ (ตามประกาศประธานสภาผู้แทนราษฎร ลงวันที่ ๔ สิงหาคม พุทธ",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ก0037-1B-0002,พระราชบัญญัติการสวนครัว และการเลี้ยงสัตว์ เพื่อประโยชน์แห่งครัวเรือน พุทธศักราช 2482 (ยกเลิก),"[26/10/2482] พระราชบัญญัติการสวนครัว และการเลี้ยงสัตว์ เพื่อประโยชน์แห่งครัวเรือน พุทธศักราช 2482 (ยกเลิก)
พระราชบัญญัติ การสวนครัว และการเลี้ยงสัตว์ เพื่อประโยชน์แห่งครัวเรือน พุทธศักราช ๒๔๘๒ (ยกเลิก) ในพระปรมาภิไธยสมเด็จพระเจ้าอยู่หัวอานันทมหิดล คณะผู้สำเร็จราชการแทนพระองค์ (ตามประกาศประธานสภาผู้แทนราษฎร ลงวันที่",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ก0013-1B-0001,พระราชบัญญัติการชลประทานราษฎร์ พุทธศักราช 2482 (ยกเลิก),"[26/10/2482] พระราชบัญญัติการชลประทานราษฎร์ พุทธศักราช 2482 (ยกเลิก)
พระราชบัญญัติ การชลประทานราษฎร์ พุทธศักราช ๒๔๘๒ (ยกเลิก) พระราชบัญญัติการชลประทานราษฎร์ (ฉบับที่ ๒) พ.ศ. ๒๕๒๓ พระราชบัญญัติการชลประทานราษฎร์ (ฉบับที่ ๓) พ.ศ. ๒๕๒๖ ในพระปรมาภิไธยสมเด็จพระเจ้าอยู่หัวอานันทมหิดล ค",กฎหมายทั่วไป,พระราชบัญญัติ
kris_ก0034-1B-0001,พระราชบัญญัติการเลือกตั้งสมาชิกสภาจังหวัด พุทธศักราช 2482 (ยกเลิก),"[10/11/2482] พระราชบัญญัติการเลือกตั้งสมาชิกสภาจังหวัด พุทธศักราช 2482 (ยกเลิก)
พระราชบัญญัติการเลือกตั้งสมาชิกสภาจังหวัด (ฉบับที่ ๖) พ.ศ. ๒๕๓๘ ในพระปรมาภิไธยสมเด็จพระเจ้าอยู่หัวอานันทมหิดล คณะผู้สำเร็จราชการแทนพระองค์ (ตามประกาศประธานสภาผู้แทนราษฎร ลงวันที่ ๔ สิงหาคม พุทธศักราช ๒๔๘๐) อาทิ",กฎหมายทั่วไป,พระราชบัญญัติ
