sysid,title,article_text,law_group,law_type
oic_10124,แนวปฏิบัติเรื่อง โครงสร้าง คุณสมบัติ และข้อพึงปฏิบัติที่ดีของกรรมการ บริษัทประกันชีวิต และ บริษัทประกันวินาศภัย,[ข่าวประกาศ] 2014-05-27 แนวปฏิบัติเรื่อง โครงสร้าง คุณสมบัติ และข้อพึงปฏิบัติที่ดีของกรรมการ บริษัทประกันชีวิต และ บริษัทประกันวินาศภัย,ประกันภัย,ข่าวประกาศ
oic_10064,สรุปหลักเกณฑ์แบบและข้อความการประกันชีวิตแบบบำนาญ,[ข่าวประกาศ] 2014-05-27 สรุปหลักเกณฑ์แบบและข้อความการประกันชีวิตแบบบำนาญ,ประกันภัย,ข่าวประกาศ
oic_10065,สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ทรงเสด็จพระราชดำเนิน เปิดอาคารสำนักงาน คปภ.,[ข่าวประกาศ] 2014-05-27 สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี ทรงเสด็จพระราชดำเนิน เปิดอาคารสำนักงาน คปภ.,ประกันภัย,ข่าวประกาศ
oic_10066,"รายชื่อผู้โชคดีที่ได้รับรางวัลในงาน ""สัปดาห์ประกันภัย","[ข่าวประกาศ] 2014-05-27 รายชื่อผู้โชคดีที่ได้รับรางวัลในงาน ""สัปดาห์ประกันภัย",ประกันภัย,ข่าวประกาศ
oic_10067,ผลการประกวดผลงาน โครงการยุวชนประกันภัย ปี 2552,[ข่าวประกาศ] 2014-05-27 ผลการประกวดผลงาน โครงการยุวชนประกันภัย ปี 2552,ประกันภัย,ข่าวประกาศ
oic_10068,การขอต่ออายุใบอนุญาต ครั้งที่ 4 เป็นต้นไป สำหรับตัวแทน/นายหน้า,[ข่าวประกาศ] 2014-05-27 การขอต่ออายุใบอนุญาต ครั้งที่ 4 เป็นต้นไป สำหรับตัวแทน/นายหน้า,ประกันภัย,ข่าวประกาศ
oic_10069,ประกาศสอบราคาจ้างจัดทำป้ายโฆษณากลางแจ้ง (ธงญี่ปุ่น),[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาจ้างจัดทำป้ายโฆษณากลางแจ้ง (ธงญี่ปุ่น),ประกันภัย,ข่าวประกาศ
oic_10070,ขอความร่วมมือแสดงความคิดเห็น ร่างประกาศฯ 4 เรื่อง,[ข่าวประกาศ] 2014-05-27 ขอความร่วมมือแสดงความคิดเห็น ร่างประกาศฯ 4 เรื่อง,ประกันภัย,ข่าวประกาศ
oic_10071,ประกาศกองทุนฯ เรื่อง บ.สัมพันธ์,[ข่าวประกาศ] 2014-05-27 ประกาศกองทุนฯ เรื่อง บ.สัมพันธ์,ประกันภัย,ข่าวประกาศ
oic_10072,ประกาศสอบราคาจ้างทำสื่อเผยแพร่ประชาสัมพันธ์,[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาจ้างทำสื่อเผยแพร่ประชาสัมพันธ์,ประกันภัย,ข่าวประกาศ
oic_10073,ประกาศสอบราคาซื้อวัสดุสำนักงาน และวัสดุไฟฟ้า,[ข่าวประกาศ] 2014-05-27 ประกาศสอบราคาซื้อวัสดุสำนักงาน และวัสดุไฟฟ้า,ประกันภัย,ข่าวประกาศ
oic_10074,ร่างประกาศฯ เรื่องการประเมินราคาฯ,[ข่าวประกาศ] 2014-05-27 ร่างประกาศฯ เรื่องการประเมินราคาฯ,ประกันภัย,ข่าวประกาศ
