sysid,title,article_text,law_group,law_type
oic_39360,พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ พ.ศ. 2535,[กฎหมายประกันรถยนต์] 2014-02-07 พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ พ.ศ. 2535,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39361,กฎกระทรวง ฉบับที่ 2 (พ.ศ. 2535) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,[กฎหมายประกันรถยนต์] 2014-02-07 กฎกระทรวง ฉบับที่ 2 (พ.ศ. 2535) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39362,พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ พ.ศ. 2535 แก้ไขเพิ่มเติม (ฉบับที่ 2)แก้ไขเพิ่มเติม (ฉบับที่ 3) รวมทั้งกฎกระทรวง,[กฎหมายประกันรถยนต์] 2014-02-25 พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ พ.ศ. 2535 แก้ไขเพิ่มเติม (ฉบับที่ 2)แก้ไขเพิ่มเติม (ฉบับที่ 3) รวมทั้งกฎกระทรวง,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39363,พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ (ฉบับที่ 4) พ.ศ. 2550,[กฎหมายประกันรถยนต์] 2014-02-25 พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ (ฉบับที่ 4) พ.ศ. 2550,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39364,พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ พ.ศ.2535 แก้ไขตามมาตรา 3 แห่ง พระรารบัญญัติคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย พ.ศ.2550,[กฎหมายประกันรถยนต์] 2014-02-25 พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ พ.ศ.2535 แก้ไขตามมาตรา 3 แห่ง พระรารบัญญัติคณะกรรมการกำกับและส่งเสริมการประกอบธุรกิจประกันภัย พ.ศ.2550,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39365,พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ (ฉบับที่ 5) พ.ศ. 2551,[กฎหมายประกันรถยนต์] 2014-02-25 พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ (ฉบับที่ 5) พ.ศ. 2551,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39366,กฎกระทรวง ฉบับที่ 3 (พ.ศ. 2535) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,[กฎหมายประกันรถยนต์] 2014-02-25 กฎกระทรวง ฉบับที่ 3 (พ.ศ. 2535) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39367,กฎกระทรวง ฉบับที่ 5 (พ.ศ. 2535) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,[กฎหมายประกันรถยนต์] 2014-02-25 กฎกระทรวง ฉบับที่ 5 (พ.ศ. 2535) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39368,กฎกระทรวง ฉบับที่ 11 (พ.ศ. 2540) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,[กฎหมายประกันรถยนต์] 2014-02-25 กฎกระทรวง ฉบับที่ 11 (พ.ศ. 2540) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
oic_39369,กฎกระทรวง ฉบับที่ 12 (พ.ศ. 2540) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,[กฎหมายประกันรถยนต์] 2014-02-25 กฎกระทรวง ฉบับที่ 12 (พ.ศ. 2540) ออกตามความในพระราชบัญญัติคุ้มครอง ผู้ประสบภัยจากรถ พ.ศ. 2535,ประกันภัย,กฎหมายคุ้มครองผู้ประสบภัยจากรถ
